MAG_AUTO_I,RA,DEC
23.97793579,25.42582000,-32.82995600
23.40916634,25.42588800,-32.82244300
25.53131485,25.42619100,-32.81952400
24.44960403,25.42634300,-32.84580900
22.73791504,25.42636000,-32.84838700
23.34640503,25.42638700,-32.84709700
22.36972046,25.42649200,-32.84144100
20.44424057,25.42681700,-32.80145100
24.22973633,25.42729200,-32.82843400
22.84192276,25.42759400,-32.79460100
24.34781456,25.42819900,-32.84786600
23.16269112,25.42827200,-32.79543600
21.44960403,25.42833200,-32.83230000
22.08596992,25.42853500,-32.81994400
24.20937347,25.42872800,-32.82700300
23.56782150,25.42874500,-32.81275300
21.83230782,25.42935400,-32.84271400
23.02923012,25.42976700,-32.80773000
24.09148979,25.42981900,-32.85313900
23.89668274,25.42995300,-32.82979700
18.63972282,25.43028800,-32.81343400
23.33505249,25.43055300,-32.84264300
22.52834129,25.43100000,-32.84080700
24.10090828,25.43103300,-32.80981100
24.10450554,25.43175200,-32.83559600
20.41213417,25.43198000,-32.82119800
21.05780220,25.43242600,-32.79146800
23.19617462,25.43250800,-32.81004700
22.05299950,25.43263600,-32.83448500
23.29245567,25.43267100,-32.81959600
22.02528191,25.43301300,-32.85387400
23.56540489,25.43318800,-32.80783000
21.87785530,25.43322500,-32.79208000
23.46634674,25.43369900,-32.85696600
22.67370224,25.43453700,-32.78848500
23.95138741,25.43532100,-32.84232900
22.47170830,25.43573600,-32.81559000
23.88501930,25.43597100,-32.85309200
23.35690498,25.43600700,-32.81465000
24.12449074,25.43604000,-32.80598200
23.87930870,25.43637900,-32.84593700
16.99513054,25.43653900,-32.82067000
23.25080681,25.43656400,-32.85623700
23.71890068,25.43722300,-32.84144400
25.50078964,25.43734300,-32.79116700
25.48431015,25.43757300,-32.80811200
23.70129013,25.43758000,-32.80913400
23.42961121,25.43824900,-32.80878200
23.21114159,25.43829400,-32.81584000
22.45888710,25.43849800,-32.84179700
24.03211594,25.43868500,-32.84358800
22.28425789,25.43879700,-32.83212800
23.93925667,25.43885200,-32.82996500
23.49270630,25.43894500,-32.84230400
24.08843040,25.43914100,-32.85617200
22.68841553,25.43933500,-32.83790600
24.38986397,25.43981200,-32.85071400
21.78001785,25.43985500,-32.78949400
20.82998848,25.44004200,-32.79958300
21.32472038,25.44013900,-32.82137000
22.44445419,25.44021400,-32.85159600
15.76678562,25.44035000,-32.83438200
23.38304710,25.44043400,-32.82963900
23.61362267,25.44059400,-32.82830700
24.23429680,25.44104600,-32.84948800
23.35535622,25.44120100,-32.82795900
21.25860596,25.44125200,-32.79196300
23.90222740,25.44143200,-32.78864300
22.59072685,25.44152700,-32.83610900
22.09437943,25.44163100,-32.82681300
21.96070290,25.44168300,-32.81535900
22.41962624,25.44195900,-32.81367700
23.84168243,25.44206700,-32.80675300
22.47270584,25.44225800,-32.81557900
19.96453094,25.44229600,-32.79602300
21.85936928,25.44230000,-32.82525700
23.24938393,25.44291600,-32.82039100
22.79071426,25.44311900,-32.81944000
24.65851784,25.44380900,-32.82511000
22.75360107,25.44385200,-32.82785100
23.94487953,25.44387800,-32.84494600
23.32689476,25.44402000,-32.83946600
24.32694817,25.44423200,-32.83412900
23.37318420,25.44433400,-32.82279100
24.03620338,25.44437100,-32.82138000
22.91245651,25.44439600,-32.82592900
21.40634918,25.44449700,-32.81497400
22.23513412,25.44455800,-32.83304800
23.59760094,25.44458900,-32.81860400
22.37502670,25.44463300,-32.81701500
21.63136482,25.44574600,-32.85580200
23.26739120,25.44627200,-32.81771500
23.86188698,25.44641900,-32.80520900
22.70719719,25.44653300,-32.80088100
22.98083496,25.44669900,-32.81864500
23.76332855,25.44680300,-32.84395000
23.92610550,25.44706900,-32.80073500
25.12612915,25.44732700,-32.83660900
23.06228447,25.44756800,-32.81788700
21.72214508,25.44861000,-32.85220800
17.89781380,25.44894400,-32.82586800
24.32048416,25.44908500,-32.82238000
24.69716263,25.44910400,-32.83581700
23.56128693,25.44910600,-32.81465500
22.66592598,25.44922300,-32.80942500
22.85541344,25.44922400,-32.80193200
23.81793022,25.44938700,-32.78804100
22.53916168,25.44966200,-32.81790900
24.17038727,25.44999600,-32.85739200
22.88087082,25.45029400,-32.82852000
23.62283516,25.45031000,-32.80969400
23.51700401,25.45057200,-32.83731800
18.86166573,25.45059900,-32.84268400
24.33978271,25.45117700,-32.85040100
23.66656113,25.45162900,-32.82096700
22.90176010,25.45186900,-32.85383700
22.99997139,25.45188500,-32.81779900
21.40863800,25.45226700,-32.83117600
21.81887245,25.45263800,-32.81448300
23.54228783,25.45276500,-32.84570400
23.59904480,25.45279500,-32.83411500
20.86383057,25.45330800,-32.82991000
28.10161781,25.45343000,-32.84664300
20.55433464,25.45358700,-32.79155600
23.32385635,25.45387500,-32.81389400
24.95401764,25.45412700,-32.84759500
23.77571106,25.45435900,-32.81159300
21.75759506,25.45442400,-32.83779400
22.66262245,25.45452300,-32.81070800
21.05128288,25.45460000,-32.82343500
24.04003143,25.45475600,-32.78924300
20.80741310,25.45519000,-32.83912600
23.94752312,25.45524000,-32.81358600
24.29766464,25.45552900,-32.81015000
23.78340340,25.45562500,-32.80003900
23.12608337,25.45586000,-32.85201600
19.29967117,25.45588800,-32.83281300
19.90927124,25.45647400,-32.82949700
23.88104439,25.45653100,-32.83508700
21.90964317,25.45668600,-32.81883400
24.30354500,25.45677100,-32.81248700
24.23616982,25.45696500,-32.81147300
22.83460999,25.45710300,-32.80376800
23.03933907,25.45735200,-32.84852300
22.92139626,25.45776300,-32.79862400
20.95135307,25.45785600,-32.85490500
22.39949989,25.45804100,-32.82478000
24.72846985,25.45835000,-32.81742200
23.52227020,25.45847300,-32.84374000
23.44201279,25.45868800,-32.83151800
20.70943260,25.45885300,-32.83434100
24.46482658,25.45902500,-32.80618400
21.52427483,25.45924400,-32.79967600
22.52853775,25.45939800,-32.83556700
24.60295296,25.45942000,-32.79256500
22.51232529,25.45955500,-32.81987300
23.53405190,25.45959900,-32.84149400
24.11156654,25.45967200,-32.83876700
25.32861519,25.45976100,-32.85263200
24.58505821,25.45982900,-32.82718000
21.07276535,25.45998500,-32.79044800
23.11182785,25.46028100,-32.79726800
19.43175316,25.46064700,-32.83242400
23.17920685,25.46099100,-32.83618400
24.19254112,25.46147600,-32.81016600
22.79729843,25.46196100,-32.83464500
24.74073219,25.46222400,-32.80024100
22.09856415,25.46223500,-32.82350800
24.00154877,25.46252400,-32.85260700
21.75098991,25.46268700,-32.81299300
24.60369492,25.46280200,-32.83898700
24.09625626,25.46302000,-32.82001100
21.94444275,25.46335300,-32.84668500
22.95351410,25.46336400,-32.79288000
21.45276833,25.46382600,-32.83565700
23.14822769,25.46396200,-32.83728200
99.00000000,25.46406600,-32.81472200
21.51087570,25.46412900,-32.80653200
23.65024948,25.46431900,-32.85508300
22.95474815,25.46444900,-32.80334000
23.40907669,25.46459700,-32.81825000
24.24851036,25.46479800,-32.84878200
22.33874893,25.46500100,-32.80285000
24.29395103,25.46513100,-32.81156600
23.18517113,25.46517600,-32.79364400
23.70380783,25.46548600,-32.82697400
23.39133453,25.46566300,-32.80763600
24.83298683,25.46576300,-32.82251600
23.71287155,25.46601600,-32.83852500
24.18549728,25.46617300,-32.85790500
22.32369232,25.46652900,-32.83545700
23.05758858,25.46740800,-32.79648800
23.88249588,25.46756700,-32.80178500
23.28965759,25.46765300,-32.82970400
24.57684326,25.46842100,-32.80999400
21.24540138,25.46878700,-32.83241100
22.34683228,25.46904100,-32.81711300
16.53945732,25.46929700,-32.84620900
23.25649643,25.46947600,-32.84249500
24.47393036,25.47058500,-32.83103900
22.85850143,25.47132400,-32.84484900
23.54447365,25.47143300,-32.80597200
22.07380867,25.47155000,-32.79845900
22.14066124,25.47164600,-32.85485500
21.84943962,25.47218200,-32.79955700
24.45516205,25.47233600,-32.79437100
23.55838394,25.47241800,-32.83662400
22.14628410,25.47277800,-32.81665500
22.56610107,25.47301600,-32.79322900
24.10803986,25.47304600,-32.85565900
15.63039494,25.47332700,-32.80216700
23.77212143,25.47352100,-32.80732800
22.36512566,25.47354200,-32.85741800
20.20534325,25.47368600,-32.85040200
22.74071503,25.47436100,-32.81881400
23.63978195,25.47458800,-32.83060500
21.65083504,25.47470400,-32.81266400
20.16869926,25.47549800,-32.84737400
22.34852791,25.47553400,-32.80683900
22.41893578,25.47597900,-32.80867100
24.40824699,25.47645700,-32.82197300
23.08560371,25.47668300,-32.83522800
22.43327713,25.47692000,-32.83436300
23.49778366,25.47739000,-32.82130700
24.67134666,25.47749200,-32.78715700
22.65519714,25.47776200,-32.80192200
22.53634071,25.47799800,-32.82865600
23.99081612,25.47817000,-32.84764200
23.57574272,25.47819000,-32.82482100
